0x2032;;;;;Vitolig Scheitholzkessel ; VBC550S
0x20AB;0x0100;0x0106;;;Vitotronic 050 HK3W - Witterungsgeführte, digitale Heizkreisregelung für maximal drei Heizkreise mit Mischer und Speichertemperaturregelung. ; V050HK3W
0x20AB;0x0107;0x0107;;;Vitotronic 050 HK3W - Witterungsgeführte, digitale Heizkreisregelung für maximal drei Heizkreise mit Mischer und Speichertemperaturregelung. Softwarestand 7 (0-10V Anschlußerweiterung optiona ; V050HK3W_7
0x20AB;0x0108;0x0108;;;Vitotronic 050 HK3W - Witterungsgeführte, digitale Heizkreisregelung für maximal drei Heizkreise mit Mischer und Speichertemperaturregelung. Softwarestand 8 (0-10V Anschlußerweiterung und Vit ; V050HK3W_8
0x20AB;0x0109;0x010F;;;Vitotronic 050 HK3W - Witterungsgeführte, digitale Heizkreisregelung für maximal drei Heizkreise mit Mischer und Speichertemperaturregelung. Softwarestand 9 (0-10V Anschlußerweiterung und Vit ; V050HK3W_9
0x20AC;0x0100;0x0106;;;Vitotronic 050 HK1S - Witterungsgeführte, digitale Heizkreisregelung für einen Heizkreis mit Mischer und Speichertemperaturregelung. Als Kopie von V050HK1W eingefügt ; V050HK1S
0x20AC;0x0107;0x0107;;;Vitotronic 050 HK1S - Witterungsgeführte, digitale Heizkreisregelung für einen Heizkreis mit Mischer und Speichertemperaturregelung. Softwarestand 7 (0-10V Anschlußerweiterung optional) ; V050HK1S_7
0x20AC;0x0108;0x0108;;;Vitotronic 050 HK1S - Witterungsgeführte, digitale Heizkreisregelung für einen Heizkreis mit Mischer und Speichertemperaturregelung. Softwarestand 8 (0-10V Anschlußerweiterung und Vitosolic 1 ; V050HK1S_8
0x20AC;0x0109;0x010F;;;Vitotronic 050 HK1S - Witterungsgeführte, digitale Heizkreisregelung für einen Heizkreis mit Mischer und Speichertemperaturregelung. Softwarestand 9 (0-10V Anschlußerweiterung und Vitosolic 1 ; V050HK1S_9
0x20AD;0x0100;0x0106;;;Vitotronic 050 HK3WS - Witterungsgeführte, digitale Heizkreisregelung für maximal drei Heizkreise mit Mischer und Speichertemperaturregelung. - Als Kopie von V050HK3S ; V050HK3S
0x20AD;0x0107;0x0107;;;Vitotronic 050 HK3S - Witterungsgeführte, digitale Heizkreisregelung für maximal drei Heizkreise mit Mischer und Speichertemperaturregelung. Softwarestand 7 (0-10V Anschlußerweiterung optiona ; V050HK3S_7
0x20AD;0x0108;0x0108;;;Vitotronic 050 HK3S - Witterungsgeführte, digitale Heizkreisregelung für maximal drei Heizkreise mit Mischer und Speichertemperaturregelung. Softwarestand 8 (0-10V Anschlußerweiterung und Vit ; V050HK3S_8
0x20AD;0x0109;0x010F;;;Vitotronic 050 HK3S - Witterungsgeführte, digitale Heizkreisregelung für maximal drei Heizkreise mit Mischer und Speichertemperaturregelung. Softwarestand 9 (0-10V Anschlußerweiterung und Vit ; V050HK3S_9
0x20AE;;;;;NR2 2011 ; V200HK3A
0x20B4;0x0100;0x0106;;;Vitotronic 050 HK1M - Witterungsgeführte, digitale Heizkreisregelung für einen Heizkreis mit Mischer für die Montage an Viessmann Mischern. ; V050HK1M
0x20B4;0x0107;0x0107;;;Vitotronic 050 HK1M - Witterungsgeführte, digitale Heizkreisregelung für einen Heizkreis mit Mischer für die Montage an Viessmann Mischern. Softwarestand 7 (0-10V Anschlußerweiterung optional) ; V050HK1M_7
0x20B4;0x0108;0x0108;;;Vitotronic 050 HK1M - Witterungsgeführte, digitale Heizkreisregelung für einen Heizkreis mit Mischer für die Montage an Viessmann Mischern. Softwarestand 8 (0-10V Anschlußerweiterung optional) ; V050HK1M_8
0x20B4;0x0109;0x010F;;;Vitotronic 050 HK1M - Witterungsgeführte, digitale Heizkreisregelung für einen Heizkreis mit Mischer für die Montage an Viessmann Mischern. Softwarestand 9 (0-10V Anschlußerweiterung optional, neue Codierungen F8 bis FB) ; V050HK1M_9
0x20B8;0x0100;0x0106;;;Vitotronic 333 MW1 ; V333MW1
0x20B8;0x0107;0x0107;;;Vitotronic 333 MW1 Softwarestand 7 (0-10V Anschlußerweiterung optional) ; V333MW1_7
0x20B8;0x0108;0x0108;;;Vitotronic 333 MW1 Softwarestand 8 (0-10V Anschlußerweiterung und Vitosolic 100/200 optional) ; V333MW1_8
0x20B8;0x0109;0x010F;;;Vitotronic 333 MW1 Softwarestand 9 (0-10V Anschlußerweiterung und Vitosolic 100/200 optional, neue Codierungen F8 bis FB) ; V333MW1_9
0x20B9;0x0100;0x0106;;;Vitotronic 333 MW1S - Als Kopie von V333MW1 ; V333MW1S
0x20B9;0x0107;0x0107;;;Vitotronic 333 MW1S Softwarestand 7 (0-10V Anschlußerweiterung optional) ; V333MW1S_7
0x20B9;0x0108;0x0108;;;Vitotronic 333 MW1S Softwarestand 8 (0-10V Anschlußerweiterung und Vitosolic 100/200 optional) ; V333MW1S_8
0x20B9;0x0109;0x010F;;;Vitotronic 333 MW1S Softwarestand 9 (0-10V Anschlußerweiterung und Vitosolic 100/200 optional, neue Codierungen F8 bis FB) ; V333MW1S_9
0x20BA;;;;;Vitotronic 333 MW2 (Kaskadenregelung für Wandgeräte) ; V333MW2
0x20BA;0x0102;0x010F;;;Vitotronic 333 MW2 (Kaskadenregelung für Wandgeräte) Softwarestand 2 (neue Codierungen F8 bis FB) ; V333MW2_2
0x20BB;;;;;Kaskade NR2 2011 ; V300KMW1A
0x20BC;;;;;Kaskade NR2 2011 ; V300KMW2A
0x20BD;;;;;Systemregler 2013 ; V300MW3B
0x20BE;;;;;Vitotronic 300 GW6B ; V300GW6B
0x20BF;;;;;Vitotronic 300 CM1E / CM1I ; V300CM1x
0x20C0;0x0100;0x0103;;; ; VDensHC1
0x20C0;0x0104;0x019F;;;ab Softwareindex 4 ; VDensHC1_4
0x20C1;0x0100;0x0103;;; ; VDensHC2
0x20C1;0x0104;0x019F;;;ab Softwareindex 4 ; VDensHC2_4
0x20C2;0x0100;0x0103;;; ; VDensHO1
0x20C2;0x0104;0x019F;;;ab Softwareindex 4 ; VDensHO1_4
0x20C3;0x0100;0x0103;;; ; VPendHC1
0x20C3;0x0104;0x0113;;;ab Softwareindex 4 ; VPendHC1_4
0x20C3;0x0128;0x019F;;;ab Softwareindex 40 ; VPendHC1_40
0x20C4;0x0100;0x0103;;; ; VPendHC2
0x20C4;0x0104;0x0113;;;ab Softwareindex 4 ; VPendHC2_4
0x20C4;0x0128;0x019F;;;ab Softwareindex 40 ; VPendHC2_40
0x20C5;0x0100;0x0103;;; ; VPendHO1
0x20C5;0x0104;0x0127;;;ab Softwareindex 4 ; VPendHO1_4
